period,GHA – Exports of goods and services (% of GDP) ,NIG – Exports of goods and services (% of GDP) ,"CHN – Annual Foreign direct investment, net inflows (% of GDP) "
2010,26.1097571827641,25.2641156842622,3.99473192936504
2011,36.9366085777892,31.3298051901443,3.69851737185537
2012,40.3592181403597,31.4387474948519,2.81773885821291
2013,34.189078520552,19.011789453047,3.02822560278711
2014,39.5235599200333,17.7202663321824,2.55760030508313
2015,45.5205622462075,10.6663096235135,2.19156480126449
2016,40.9808701038504,9.21810969990013,1.56151997957024
2017,46.9937159621585,11.2303490966637,NA
2018,50.4155165910976,11.3671043694604,NA
